"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"67","berlin","2020-13-10",116057,"Halensee",52.49348,13.29604,"Entire apartment","Entire home/apt",2,1,1,"$86.00",3,10,28,80,160
"68","berlin","2020-13-10",117649,"südliche Luisenstadt",52.50004,13.44265,"Entire apartment","Entire home/apt",4,1,1,"$68.00",60,365,0,68,2040
"69","berlin","2020-13-10",127708,"Alexanderplatz",52.52536,13.40488,"Entire apartment","Entire home/apt",2,1,1,"$69.00",2,365,20,69,690
"70","berlin","2020-13-10",128827,"Frankfurter Allee Süd FK",52.50948,13.46119,"Entire apartment","Entire home/apt",3,1,1,"$59.00",5,1125,0,59,1770
"71","berlin","2020-13-10",135097,"Schöneberg-Nord",52.50089,13.34692,"Entire apartment","Entire home/apt",5,3,5,"$66.00",1,365,0,72.8,2184
"72","berlin","2020-13-10",139769,"Alexanderplatz",52.52811,13.39195,"Private room in apartment","Private room",2,1,1,"$25.00",4,180,2,31.4285714285714,880
"73","berlin","2020-13-10",143605,"Schillerpromenade",52.47678,13.42437,"Entire apartment","Entire home/apt",4,1,3,"$55.00",30,180,0,55,1650
"74","berlin","2020-13-10",145249,"Frankfurter Allee Nord",52.51819,13.46122,"Private room in loft","Private room",3,1,2,"$70.00",3,7,0,70,2100
"75","berlin","2020-13-10",147339,"Schöneberg-Süd",52.48174,13.35947,"Entire apartment","Entire home/apt",2,1,1,"$50.00",3,365,14,50,800
"76","berlin","2020-13-10",147564,"südliche Luisenstadt",52.49611,13.42257,"Entire apartment","Entire home/apt",2,NA,1,"$29.00",91,1125,1,29,841
"77","berlin","2020-13-10",147946,"Prenzlauer Berg Nordwest",52.54855,13.40852,"Entire apartment","Entire home/apt",2,1,1,"$31.00",183,1125,0,31,930
"78","berlin","2020-13-10",147953,"Schöneberg-Süd",52.48864,13.3604,"Entire apartment","Entire home/apt",2,1,0,"$30.00",183,1125,0,30,900
"79","berlin","2020-13-10",151249,"Südliche Friedrichstadt",52.49678,13.41679,"Entire apartment","Entire home/apt",4,1,2,"$80.00",7,50,17,80,1040
"80","berlin","2020-13-10",154433,"Reuterstraße",52.48623,13.44019,"Private room in apartment","Private room",2,2,3,"$45.00",31,365,29,45,45
